Reef_name,Site_name,Lat,Long
Ashmore,ASHM-01,-10.40495,144.48625
Ashmore,ASHM-02,-10.392453,144.499753
Ashmore,ASHM-03,-10.388789,144.511377
Ashmore,ASHM-04,-10.39746,144.53992
Betty Cay,BETT-01,-17.418735,151.857726
Boot,BOOT-01,-9.984974,144.698166
Bougainville,BOUG-01,-15.487239,147.090348
Bougainville,BOUG-02,-15.499696,147.09669
Chillcott,CHIL-01,-16.92334,149.996544
East Diamond,EDIA-01,-17.431637,151.066193
East Diamond,EDIA-02,-17.417673,151.070984
East Holmes,HOLM-02,-16.425356,147.983993
East Holmes,HOLM-03,-16.511758,147.96644
Edna Cay,EDNA-01,-17.58730507,151.6020966
Frankie Cay,FRAN-01,-17.391974,152.009642
Frederick,FRED-01,-21.01225,154.34671
Georgina Cay,GEOR-01,-17.605702,151.496025
Herald's Surprise,HSUP-01,-17.33076,148.478
Hermit Crab Islet,HERM-01,-17.405225,151.872456
Julietta Cay,JULI-01,-17.383564,151.479047
Julietta Cay,JULI-02,-17.367831,151.499815
Kenn,KENN-01,-21.2094,155.78188
Kenn,KENN-02,-21.20425,155.76793
Lorna Cay,LORN-01,-17.116431,151.830203
Margaret Cay,LORN-02,-17.139545,151.835287
Marion,MARI-01,-19.12206,152.37332
Marion,MARI-02,-19.295373,152.235417
Middle Cay,MIDD-01,-17.129664,152.051144
North Flinders,FLIN-02,-17.54087,148.54848
Observation Cay,OBSN-01,-17.114107,152.079224
Osprey,OSPR-01,-13.86955,146.55585
Osprey,OSPR-02,-13.800545,146.551404
Osprey,OSPR-03,-13.89452,146.55418
Saumarez,SAUM-01,-21.912222,153.609167
Saumarez,SAUM-02,-21.91349,153.58558
Shark Cay,SHAR-01,-17.344461,152.069343
South Diamond,SDIA-01,-17.664629,150.816232
South Diamond,SDIA-02,-17.667834,150.833108
South Flinders,FLIN-01,-17.86224,148.46677
Southwest Cay,SWCA-01,-17.65102577,151.4239807
Turtle Islet,TURT-01,-17.109831,152.002583
West Herald,HERA-01,-16.9711,149.12769
West Holmes,HOLM-01,-16.526368,147.844131
West Holmes,HOLM-03,-16.525681,147.802646
Willis,WILL-01,-16.116923,149.969506
Wreck,WREC-01,-22.19906,155.32938
